fold,n_train,n_test,n_test_groups,mean_log_score_delta,mean_group_log_score_delta,mean_zero_log_score_delta,mean_positive_log_score_delta,beta_binomial_mean,beta_binomial_concentration,zero_inflated_mean,zero_inflated_concentration,structural_zero_probability
0,770,193,76,0.016609957105109971,0.030267707324998401,0.085219695699895778,-0.0061022322228191242,0.044139318157273247,11.779804208403442,0.047054867665377823,13.201613152064898,0.059533572704875512
1,770,193,76,-0.10438051079774145,-0.093088315256357954,0.08537171369857316,-0.14495645817431191,0.045764392055242534,11.165691806802741,0.053184580688607104,15.242717708518471,0.13367922672195193
2,770,193,78,0.013448479587738737,0.020174777083916243,0.055914410463637799,-0.00022205980381781036,0.043492543253276839,11.693369719970768,0.046691355310147231,13.291076351218525,0.065663653619432938
3,771,192,77,0.014343758665789247,0.0036350341249297823,0.027080251942273731,0.012610389758338695,0.04077691724500037,11.220887066883471,0.044445761856367089,12.895504065680512,0.079242088454055948
4,771,192,77,0.021041480784370441,0.031308796861531762,0.095585359840842044,-0.0038064789011201003,0.043657604696467067,12.037055683082214,0.045960839723675921,13.138762255443808,0.048190805855955851
