structural_zero_probability,mean,concentration,log_likelihood,n_starts,n_successful_starts
0,0.043563489546234749,11.555765364448883,-3936.6436934864796,9,9
0.01,0.044098756945803071,11.808079558931455,-3935.1818435725945,9,9
0.02,0.044624047129274549,12.058492960151932,-3933.8632961811672,9,9
0.029999999999999999,0.045143415527470462,12.312019892197187,-3932.7050738836901,9,9
0.040000000000000001,0.045656661068330093,12.554587518482673,-3931.7244797005123,9,9
0.050000000000000003,0.046142727004668788,12.802754522243061,-3930.9385997123895,9,9
0.059999999999999998,0.046619807081472432,13.042424960707793,-3930.3639784392694,9,9
0.070000000000000007,0.047079278899721022,13.272075501574374,-3930.015993549514,9,9
0.080000000000000002,0.047521955504123747,13.494102378254899,-3929.9085278485682,9,9
0.089999999999999997,0.047936801787217667,13.707876717576092,-3930.0536574995513,9,9
0.10000000000000001,0.048330938257106694,13.910515906115615,-3930.4614756275305,9,9
0.11,0.048696138648477855,14.108343281446425,-3931.1400584391035,9,9
0.12,0.049051086973058967,14.284440998906341,-3932.095428863603,9,9
0.13,0.049383173872472277,14.453493823389858,-3933.3319210236605,9,9
0.14000000000000001,0.049681196539143789,14.613810481199495,-3934.8521745077451,9,9
0.14999999999999999,0.04996783011056366,14.767337961687765,-3936.6575076988847,9,9
0.16,0.050241901489225305,14.89915625697301,-3938.7480872215747,9,9
0.17000000000000001,0.05048744714863098,15.038128878908655,-3941.1232759591148,9,9
0.17999999999999999,0.050720073651126484,15.158506477104318,-3943.781710530367,9,9
0.19,0.050939975405439729,15.269548486481547,-3946.7216473687185,9,9
0.20000000000000001,0.051137093009470676,15.372917950291686,-3949.9410423669665,9,9
0.20999999999999999,0.051333815382840459,15.473287313139704,-3953.4376687953427,9,9
0.22,0.051507508739486653,15.571002869139262,-3957.2093233432438,9,9
0.23000000000000001,0.051673606212321831,15.655790266118949,-3961.2538318157499,9,9
0.23999999999999999,0.051823998034255706,15.740824986105698,-3965.5691895066402,9,9
0.25,0.051974039678373281,15.815923624264361,-3970.1535520168891,9,9
0.26000000000000001,0.05211340848751965,15.889912667604856,-3975.0053608727521,9,9
0.27000000000000002,0.052243585723887154,15.955900992590657,-3980.1233083096322,9,9
0.28000000000000003,0.052367700649129295,16.019046393657231,-3985.5064132251796,9,9
0.28999999999999998,0.052487010822290896,16.078828255232569,-3991.1540151886629,9,9
0.29999999999999999,0.052595958676810835,16.136952036555655,-3997.0658032339907,9,9
