smoothing_rule,quantile,empirical_smoothed_frequency,fitted_link_frequency,stukel_link_frequency,published_piel_link_frequency
piel_printed_2013,0.001,0.000152500189693848,2.8633835737809112e-05,2.732757113111863e-05,4.4288055480889536e-05
piel_printed_2013,0.01,0.00027841296682251031,0.00025744093472101164,0.00026684853644701358,0.00032244258839617715
piel_printed_2013,0.050000000000000003,0.0014483451226967078,0.0013588782392709331,0.0014117971877490526,0.0014941795923881847
piel_printed_2013,0.5,0.029629629629629631,0.02674985640114479,0.026183927336193704,0.025908938202977985
piel_printed_2013,0.94999999999999996,0.11928348301444748,0.14447304142677814,0.14931853606411333,0.14840559967385977
piel_printed_2013,0.98999999999999999,0.15721628252112549,0.21342717582069384,0.23525588194134314,0.22954373203454304
piel_printed_2013,0.999,0.1805317442985056,0.28331866306909753,0.34010767610583248,0.32045574231876073
uniform_binomial_conjugate,0.001,0.00015251184047690111,2.9648885294775562e-05,2.8602307956325102e-05,
uniform_binomial_conjugate,0.01,0.00027846404676886192,0.00025719117530776563,0.00026572444045627725,
uniform_binomial_conjugate,0.050000000000000003,0.0014495920745920747,0.0013445152750246228,0.0013908286365299858,
uniform_binomial_conjugate,0.5,0.030339805825242719,0.027663783020729821,0.027146302274513909,
uniform_binomial_conjugate,0.94999999999999996,0.13502998500749624,0.16317651991129631,0.16786376670590566,
uniform_binomial_conjugate,0.98999999999999999,0.18569810682893848,0.24860595198551114,0.27020355100390497,
uniform_binomial_conjugate,0.999,0.21833535353535358,0.33906689568238418,0.39499905968290105,
